,1. open,2. high,3. low,4. close,5. volume
2022-11-04,4.6500,4.6600,4.2400,4.5900,48477
2022-11-03,4.6500,4.7800,4.5000,4.5700,72257
2022-11-02,4.7400,4.9200,4.3281,4.6600,132742
2022-11-01,4.5900,5.5000,4.5900,4.7400,259629
2022-10-31,4.3500,4.6300,4.1900,4.5900,63413
2022-10-28,4.1900,4.6400,4.0600,4.4300,59334
2022-10-27,4.0600,4.3850,3.8700,4.1500,113688
2022-10-26,3.9800,4.6500,3.9800,4.0900,125939
2022-10-25,3.6600,4.6600,3.6600,3.9800,182764
2022-10-24,3.7000,3.7500,3.5300,3.6000,40364
2022-10-21,3.4500,3.7000,3.3700,3.6300,41643
2022-10-20,3.6800,3.6800,3.3000,3.3700,25094
2022-10-19,3.6500,3.6500,3.4100,3.4300,25597
2022-10-18,3.4700,3.6700,3.1900,3.5800,65694
2022-10-17,3.2800,3.6300,3.0200,3.4400,130596
2022-10-14,3.3600,3.4300,3.2000,3.2300,21440
2022-10-13,3.5900,3.5900,3.3000,3.3900,43837
2022-10-12,3.3400,3.4472,3.2500,3.3200,17619
2022-10-11,3.5200,3.5200,3.3124,3.3800,24729
2022-10-10,3.6200,3.9600,3.4300,3.5500,42160
2022-10-07,3.8100,3.9600,3.6000,3.6100,25038
2022-10-06,3.9900,4.1500,3.7500,3.8700,65652
2022-10-05,3.5000,3.9300,3.5000,3.8900,100048
2022-10-04,3.5500,3.7900,3.4300,3.5900,326184
2022-10-03,3.4400,3.9000,3.4127,3.5000,189409
2022-09-30,3.3500,3.7200,3.2800,3.3400,349520
2022-09-29,3.6600,3.8400,3.3600,3.4200,102978
2022-09-28,3.6100,3.9000,3.4900,3.6900,135750
2022-09-27,3.5100,3.8025,3.3900,3.5900,50051
2022-09-26,3.4900,3.8000,3.3200,3.6900,72899
2022-09-23,3.7100,3.8500,3.4700,3.5500,55845
2022-09-22,3.4100,3.9200,3.4100,3.8000,152208
2022-09-21,3.6200,3.9400,3.3100,3.4200,294963
2022-09-20,3.7300,3.9500,3.4200,3.6300,117177
2022-09-19,3.7600,3.9400,3.7300,3.7500,36566
2022-09-16,4.2500,4.2600,3.8000,3.8500,197727
2022-09-15,4.2500,4.2899,4.1400,4.2500,10741
2022-09-14,4.2600,4.3800,4.1900,4.2200,31352
2022-09-13,4.3200,4.5200,4.1500,4.2900,30864
2022-09-12,4.5100,4.5200,4.2300,4.4700,175853
2022-09-09,4.4400,4.6200,4.3600,4.4900,69751
2022-09-08,4.3700,4.5991,4.3400,4.3600,39664
2022-09-07,4.3300,4.4600,4.0300,4.4000,74067
2022-09-06,4.1000,4.4700,3.8500,4.2800,106275
2022-09-02,4.6600,4.6600,3.9200,3.9500,54535
2022-09-01,4.4600,4.8750,4.2800,4.4200,146924
2022-08-31,4.7900,4.9000,4.3800,4.5100,29266
2022-08-30,4.7300,4.9200,4.5000,4.7700,50797
2022-08-29,4.5200,5.1000,4.5200,4.7200,124957
2022-08-26,4.7500,4.9638,4.4950,4.6000,68898
2022-08-25,4.5100,4.6200,4.4500,4.5000,21225
2022-08-24,4.6000,5.0200,4.5000,4.5700,52953
2022-08-23,4.3500,4.6100,4.3200,4.4800,9160
2022-08-22,4.6900,4.9050,4.4400,4.5000,22397
2022-08-19,4.8300,5.0000,4.6800,4.7500,16871
2022-08-18,4.8300,5.1247,4.6300,4.9100,28633
2022-08-17,5.3100,5.4300,4.7600,4.8200,59102
2022-08-16,5.3600,5.7200,5.2715,5.4300,137046
2022-08-15,5.0900,5.3200,5.0400,5.1750,62070
2022-08-12,4.7000,5.1300,4.2300,5.0100,78222
2022-08-11,5.5300,5.6345,4.3500,4.6700,141470
2022-08-10,6.2500,7.8900,5.5000,5.7900,246761
2022-08-09,7.3700,7.9600,5.3039,6.1100,121962
2022-08-08,7.3400,7.7250,7.0000,7.3000,28882
2022-08-05,6.9800,7.4012,6.9800,7.2800,22233
2022-08-04,7.9000,7.9000,6.9800,7.2500,36750
2022-08-03,7.8900,8.2500,7.5800,7.8900,39945
2022-08-02,6.7200,7.9800,6.5800,7.7200,145174
2022-08-01,6.4300,7.0900,6.4100,6.7500,158553
2022-07-29,6.5000,6.7300,6.2700,6.4900,27675
2022-07-28,6.5391,6.6150,6.2800,6.5500,47158
2022-07-27,6.4600,6.6400,6.1600,6.4400,40635
2022-07-26,7.1600,7.1600,6.0300,6.4000,131944
2022-07-25,7.1500,7.6900,6.6300,7.2000,88178
2022-07-22,7.1000,7.5800,6.8100,7.0700,33874
2022-07-21,7.0200,7.7360,6.8600,7.2600,37835
2022-07-20,7.1200,7.4500,6.9000,7.1500,37944
2022-07-19,6.7800,7.7000,6.5100,7.2300,56155
2022-07-18,7.6400,7.8800,6.4801,6.8100,581461
2022-07-15,7.9300,7.9300,7.3000,7.5800,19751
2022-07-14,8.6200,8.6200,7.5000,7.7100,15824
2022-07-13,8.9300,8.9500,7.9350,8.5800,29579
2022-07-12,7.6400,9.3000,7.6400,9.2000,45659
2022-07-11,7.9500,8.0000,7.6000,7.6000,7459
2022-07-08,7.5000,8.3200,7.5000,8.1600,21003
2022-07-07,7.1500,7.8300,7.1500,7.5000,30770
2022-07-06,7.2400,7.7300,7.2400,7.3100,19261
2022-07-05,7.8900,8.1754,7.1300,7.2700,21933
2022-07-01,8.4001,8.4950,8.1300,8.1600,30329
2022-06-30,8.2900,8.6700,7.5925,8.4000,20230
2022-06-29,10.3150,10.9050,8.5500,8.6000,64581
2022-06-28,10.0700,10.4200,9.2455,10.3000,41339
2022-06-27,8.7500,10.3400,8.0500,10.2100,67663
2022-06-24,7.7400,8.6500,7.0300,8.6500,198977
2022-06-23,7.6200,7.9500,7.5550,7.7600,15606
2022-06-22,7.4100,7.5500,7.1900,7.3900,17236
2022-06-21,7.4200,7.6100,6.7200,7.4000,25474
2022-06-17,7.9500,7.9500,7.2700,7.2900,34543
2022-06-16,8.3900,10.1000,7.1500,7.9300,49519
2022-06-15,7.8700,8.9300,7.7500,8.7200,65757
